roadID,XCoord_0,YCoord_0,XCoord_1,YCoord_1
41502,820574,3390507,820395,3390691
41601,822787,3389964,824200,3390835
41701,822893,3390982,822369,3390649
41801,821111,3390502,820638,3390973
41901,823777,3391534,823685,3391475
41902,823685,3391475,823316,3391240
41903,823316,3391240,822893,3390982
42001,821111,3390502,822013,3391267
42101,822369,3390649,822013,3391267
42201,823685,3391475,823869,3391081
42301,823316,3391240,823137,3391554
42401,818985,3390077,819583,3390911
42402,819583,3390911,819865,3391230
42403,819865,3391230,820066,3391524
42501,820066,3391524,820638,3390973
42601,822013,3391267,822509,3391647
42701,822893,3390982,822509,3391647
42801,822509,3391647,822942,3391889
42802,822942,3391889,823341,3392113
42901,823707,3392321,823877,3391978
42902,823877,3391978,823959,3391811
43001,821654,3391944,820638,3390973
43101,822013,3391267,821654,3391944
43201,823341,3392113,823777,3391534
43301,822044,3392301,821862,3392142
43302,821862,3392142,821654,3391944
43401,822117,3391763,821862,3392142
43501,823341,3392113,823707,3392321
43502,823707,3392321,823974,3392474
43503,823974,3392474,824083,3392535
43504,824083,3392535,824147,3392536
43601,822509,3391647,822044,3392301
43701,823877,3391978,824159,3392149
43702,824159,3392149,823974,3392474
43801,822782,3392863,822412,3392583
43802,822412,3392583,822044,3392301
43901,822942,3391889,822412,3392583
44001,820066,3391524,821037,3392578
44101,821654,3391944,821298,3392374
44102,821298,3392374,821037,3392578
44201,823341,3392113,822914,3392669
44202,822914,3392669,822782,3392863
44301,823587,3393180,823251,3392925
44302,823251,3392925,822914,3392669
44401,823112,3393118,823251,3392925
44402,823251,3392925,823707,3392321
44501,823444,3393370,823587,3393180
44502,823587,3393180,823737,3392984
44503,823737,3392984,824083,3392535
44601,823522,3393436,823444,3393370
44602,823444,3393370,823112,3393118
44603,823112,3393118,822782,3392863
44701,821037,3392578,820423,3393057
44801,824126,3393208,823998,3393182
44802,823998,3393182,823737,3392984
44901,822412,3392583,822133,3392944
44902,822133,3392944,822502,3393229
45001,822782,3392863,822502,3393229
45002,822502,3393229,822370,3393402
45101,821037,3392578,821821,3393386
45201,822502,3393229,822869,3393417
45202,822869,3393417,823112,3393118
45301,824158,3383185,824434,3383184
45401,818216,3378834,818689,3378847
45501,817227,3379238,817540,3379227
45601,817540,3379227,818174,3379219
45701,824259,3388284,824046,3388252
45801,818044,3387676,817884,3387464
45802,817884,3387464,817776,3387325
45901,820414,3388918,820687,3389101
45902,820687,3389101,820999,3389311
46001,820262,3389043,820594,3389260
46002,820594,3389260,820687,3389101
46101,820617,3388362,820499,3388572
46201,822269,3387647,822197,3387203
46202,822197,3387203,821779,3386661
46301,822197,3387203,822600,3386930
46401,815921,3384577,815972,3384784
46400,815972,3384784,816066,3384959
